ASIN,product_type,snapshot_date,ATTRIBUTE_NAME,ATTRIBUTE_VALE
B0CW5XL1ZX,SAFETY_MASK,2024-06-01,sport_type,
B0CW5XL1ZX,SAFETY_MASK,2024-06-01,filter_class,
B0CW5XL1ZX,SAFETY_MASK,2024-06-01,reusability,
B0CW5XL1ZX,SAFETY_MASK,2024-06-01,,
B0CW5XL1ZX,SAFETY_MASK,2024-06-01,,
B0CW5XL1ZX,SAFETY_MASK,2024-06-01,,
B0CW5XL1ZX,SAFETY_MASK,2024-06-01,,
B0CW5XL1ZX,SAFETY_MASK,2024-06-01,,
B0CW5XL1ZX,SAFETY_MASK,2024-06-01,,
B0CW5XL1ZX,SAFETY_MASK,2024-06-01,,
B0CXMVKMQ8,COSTUME_OUTFIT,2024-06-01,closure_type,Zipper
B0CXMVKMQ8,COSTUME_OUTFIT,2024-06-01,brand_name,Cayon Fashion
B0CXMVKMQ8,COSTUME_OUTFIT,2024-06-01,finish_type,
B0CXMVKMQ8,COSTUME_OUTFIT,2024-06-01,item_shape,
