Helper,product_type,sa_name,Rank,MP,completeness_weight,correctness_weight,normalization_weight,PT Scope,ASCS PT excluded,ASCS All excluded,Excluded,IDQ program PT overlap,IDQ program PT+Attribute overlap
ABRASIVE_WHEELS-industry_standard_identifier,ABRASIVE_WHEELS,industry_standard_identifier,4,1,4,4,4,1,0,0,0,0,0
ABRASIVE_WHEELS-compatible_devices,ABRASIVE_WHEELS,compatible_devices,6,1,4,4,4,1,0,0,0,0,0
ABRASIVE_WHEELS-grit.type,ABRASIVE_WHEELS,grit.type,7,1,4,4,4,1,0,0,0,0,0
ABRASIVE_WHEELS-arbor_hole.diameter,ABRASIVE_WHEELS,arbor_hole.diameter,8,1,4,4,4,1,0,0,0,0,0
ABRASIVE_WHEELS-item_thickness,ABRASIVE_WHEELS,item_thickness,9,1,4,4,4,1,0,0,0,0,0
ABRASIVE_WHEELS-grit.number,ABRASIVE_WHEELS,grit.number,10,1,4,4,4,1,0,0,0,0,0
ABRASIVE_WHEELS-construction_type,ABRASIVE_WHEELS,construction_type,11,1,4,4,4,1,0,0,0,0,0
ABRASIVE_WHEELS-maximum_rotational_speed,ABRASIVE_WHEELS,maximum_rotational_speed,12,1,2,2,2,1,0,0,0,0,0
ABRASIVE_WHEELS-eu_spare_part_availability_duration,ABRASIVE_WHEELS,eu_spare_part_availability_duration,105,1,1,1,1,1,0,0,0,0,0
ABRASIVE_WHEELS-model_number,ABRASIVE_WHEELS,model_number,106,1,1,1,1,1,0,0,0,0,0
ABRASIVES-material,ABRASIVES,material,1,1,8,8,8,1,0,0,0,1,1
ABRASIVES-grit.material,ABRASIVES,grit.material,2,1,8,8,8,1,0,0,0,1,0
ABRASIVES-item_dimensions,ABRASIVES,item_dimensions,3,1,4,4,4,1,0,0,0,1,0
ABRASIVES-brand,ABRASIVES,brand,4,1,4,4,4,1,0,1,1,1,0
ABRASIVES-grit.type,ABRASIVES,grit.type,5,1,4,4,4,1,0,0,0,1,0
ABRASIVES-compatible_material,ABRASIVES,compatible_material,6,1,4,4,4,1,0,0,0,1,0
ABRASIVES-item_weight,ABRASIVES,item_weight,7,1,4,4,4,1,0,1,1,1,0
ABRASIVES-grit.number,ABRASIVES,grit.number,8,1,4,4,4,1,0,0,0,1,0
ABRASIVES-eu_spare_part_availability_duration,ABRASIVES,eu_spare_part_availability_duration,105,1,4,4,4,1,0,0,0,1,0
ADHESIVE_TAPES-brand,ADHESIVE_TAPES,brand,1,1,8,8,8,1,0,1,1,1,0
ADHESIVE_TAPES-color,ADHESIVE_TAPES,color,2,1,8,8,8,1,0,0,0,1,1
ADHESIVE_TAPES-material,ADHESIVE_TAPES,material,3,1,8,8,8,1,0,0,0,1,1
ADHESIVE_TAPES-number_of_items,ADHESIVE_TAPES,number_of_items,4,1,8,8,8,1,0,0,0,1,0
ADHESIVE_TAPES-recommended_uses_for_product,ADHESIVE_TAPES,recommended_uses_for_product,5,1,4,4,4,1,0,0,0,1,0
ADHESIVE_TAPES-special_feature,ADHESIVE_TAPES,special_feature,6,1,4,4,4,1,0,0,0,1,0
ADHESIVE_TAPES-item_length_width_thickness,ADHESIVE_TAPES,item_length_width_thickness,7,1,4,4,4,1,0,0,0,1,0
ADHESIVE_TAPES-surface_recommendation,ADHESIVE_TAPES,surface_recommendation,8,1,4,4,4,1,0,0,0,1,0
ADHESIVE_TAPES-water_resistance_level,ADHESIVE_TAPES,water_resistance_level,9,1,4,4,4,1,0,0,0,1,0
ADHESIVE_TAPES-size,ADHESIVE_TAPES,size,10,1,4,4,4,1,1,0,1,1,1
ADHESIVE_TAPES-item_thickness,ADHESIVE_TAPES,item_thickness,11,1,2,2,2,1,0,0,0,1,0
ADHESIVE_TAPES-tensile_strength,ADHESIVE_TAPES,tensile_strength,12,1,2,2,2,1,0,0,0,1,0
ADHESIVE_TAPES-upper_temperature_rating,ADHESIVE_TAPES,upper_temperature_rating,13,1,2,2,2,1,0,0,0,1,0
ADHESIVE_TAPES-lower_temperature_rating,ADHESIVE_TAPES,lower_temperature_rating,14,1,1,1,1,1,0,0,0,1,0
ADHESIVE_TAPES-item_dimensions_fraction,ADHESIVE_TAPES,item_dimensions_fraction,15,1,1,1,1,1,0,0,0,1,0
ADHESIVE_TAPES-compatible_material,ADHESIVE_TAPES,compatible_material,16,1,1,1,1,1,0,0,0,1,0
ADHESIVE_TAPES-eu_spare_part_availability_duration,ADHESIVE_TAPES,eu_spare_part_availability_duration,21,1,1,1,1,1,0,0,0,1,0
ADVENT_CALENDAR-brand,ADVENT_CALENDAR,brand,1,1,8,8,8,1,0,1,1,0,0
ADVENT_CALENDAR-color,ADVENT_CALENDAR,color,2,1,8,8,8,1,0,0,0,0,0
ADVENT_CALENDAR-theme,ADVENT_CALENDAR,theme,3,1,4,4,4,1,0,0,0,0,0
ADVENT_CALENDAR-age_range_description,ADVENT_CALENDAR,age_range_description,4,1,4,4,4,1,0,0,0,0,0
ADVENT_CALENDAR-material,ADVENT_CALENDAR,material,5,1,4,4,4,1,0,0,0,0,0
ADVENT_CALENDAR-format,ADVENT_CALENDAR,format,6,1,4,4,4,1,0,0,0,0,0
ADVENT_CALENDAR-special_feature,ADVENT_CALENDAR,special_feature,7,1,4,4,4,1,0,0,0,0,0
ADVENT_CALENDAR-item_length_width,ADVENT_CALENDAR,item_length_width,9,1,4,4,4,1,0,0,0,0,0
ADVENT_CALENDAR-item_weight,ADVENT_CALENDAR,item_weight,10,1,4,4,4,1,0,1,1,0,0
ADVENT_CALENDAR-model_year,ADVENT_CALENDAR,model_year,11,1,4,4,4,1,0,0,0,0,0
ADVENT_CALENDAR-paper_size,ADVENT_CALENDAR,paper_size,12,1,1,1,1,1,0,0,0,0,0
AIMING_SCOPE_SIGHT-brand,AIMING_SCOPE_SIGHT,brand,1,1,8,8,8,1,0,1,1,0,0
AIMING_SCOPE_SIGHT-color,AIMING_SCOPE_SIGHT,color,2,1,8,8,8,1,0,0,0,0,0
AIMING_SCOPE_SIGHT-style,AIMING_SCOPE_SIGHT,style,3,1,8,8,8,1,0,0,0,0,0
